Zone,Allee,Deplacement,Niveau,longueur,largeur,hauteur,PoidsLimiteTotal,PoidsLimiteUnitaire,X,Y,Z,pictogramme,utilisateur,DateModif,DateCrea,Type1,Type2,Type3
S,3,45,1,40,24,38,20,,,,,,,,,,,
S,3,45,2,40,24,38,20,,,,,,,,,,,
S,3,45,3,40,24,38,20,,,,,,,,,,,
S,3,45,4,40,24,38,20,,,,,,,,,,,
S,3,45,5,40,24,38,20,,,,,,,,,,,
S,3,45,6,40,12,38,20,,,,,,,,,,,
S,3,45,7,40,12,38,20,,,,,,,,,,,
S,3,45,8,40,12,38,20,,,,,,,,,,,
S,3,45,9,40,12,38,20,,,,,,,,,,,
S,3,45,10,40,12,38,20,,,,,,,,,,,
S,3,46,1,40,24,38,20,,,,,,,,,,,
S,3,46,2,40,24,38,20,,,,,,,,,,,
S,3,46,3,40,24,38,20,,,,,,,,,,,
S,3,46,4,40,24,38,20,,,,,,,,,,,
S,3,46,5,40,24,38,20,,,,,,,,,,,
S,3,46,6,40,12,38,20,,,,,,,,,,,
S,3,46,7,40,12,38,20,,,,,,,,,,,
S,3,46,8,40,12,38,20,,,,,,,,,,,
S,3,46,9,40,12,38,20,,,,,,,,,,,
S,3,46,10,40,12,38,20,,,,,,,,,,,
S,3,47,1,40,24,38,20,,,,,,,,,,,
S,3,47,2,40,24,38,20,,,,,,,,,,,
S,3,47,3,40,24,38,20,,,,,,,,,,,
S,3,47,4,40,24,38,20,,,,,,,,,,,
S,3,47,5,40,24,38,20,,,,,,,,,,,
S,3,47,6,40,12,38,20,,,,,,,,,,,
S,3,47,7,40,12,38,20,,,,,,,,,,,
S,3,47,8,40,12,38,20,,,,,,,,,,,
S,3,47,9,40,12,38,20,,,,,,,,,,,
S,3,47,10,40,12,38,20,,,,,,,,,,,
S,3,48,1,40,24,38,20,,,,,,,,,,,
S,3,48,2,40,24,38,20,,,,,,,,,,,
S,3,48,3,40,24,38,20,,,,,,,,,,,
S,3,48,4,40,24,38,20,,,,,,,,,,,
S,3,48,5,40,24,38,20,,,,,,,,,,,
S,3,48,6,40,12,38,20,,,,,,,,,,,
S,3,48,7,40,12,38,20,,,,,,,,,,,
S,3,48,8,40,12,38,20,,,,,,,,,,,
S,3,48,9,40,12,38,20,,,,,,,,,,,
S,3,48,10,40,12,38,20,,,,,,,,,,,
S,3,49,1,40,24,38,20,,,,,,,,,,,
S,3,49,2,40,24,38,20,,,,,,,,,,,
S,3,49,3,40,24,38,20,,,,,,,,,,,
S,3,49,4,40,24,38,20,,,,,,,,,,,
S,3,49,5,40,24,38,20,,,,,,,,,,,
S,3,49,6,40,12,38,20,,,,,,,,,,,
S,3,49,7,40,12,38,20,,,,,,,,,,,
S,3,49,8,40,12,38,20,,,,,,,,,,,
S,3,49,9,40,12,38,20,,,,,,,,,,,
S,3,49,10,40,12,38,20,,,,,,,,,,,
S,3,50,1,40,24,38,20,,,,,,,,,,,
S,3,50,2,40,24,38,20,,,,,,,,,,,
S,3,50,3,40,24,38,20,,,,,,,,,,,
S,3,50,4,40,24,38,20,,,,,,,,,,,
S,3,50,5,40,24,38,20,,,,,,,,,,,
S,3,50,6,40,12,38,20,,,,,,,,,,,
S,3,50,7,40,12,38,20,,,,,,,,,,,
S,3,50,8,40,12,38,20,,,,,,,,,,,
S,3,50,9,40,12,38,20,,,,,,,,,,,
